"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","450010001","1","0.02","ppm","19","DUE WEST","17","100.0000","44201","Ozone","24940","Greenwood, SC","45","South Carolina","001","Abbeville","34.325318000879","-82.386376"
"01/02/2017","AQS","450010001","1","0.015","ppm","14","DUE WEST","17","100.0000","44201","Ozone","24940","Greenwood, SC","45","South Carolina","001","Abbeville","34.325318000879","-82.386376"
"01/03/2017","AQS","450010001","1","0.027","ppm","25","DUE WEST","17","100.0000","44201","Ozone","24940","Greenwood, SC","45","South Carolina","001","Abbeville","34.325318000879","-82.386376"
"01/04/2017","AQS","450010001","1","0.025","ppm","23","DUE WEST","17","100.0000","44201","Ozone","24940","Greenwood, SC","45","South Carolina","001","Abbeville","34.325318000879","-82.386376"
"01/05/2017","AQS","450010001","1","0.028","ppm","26","DUE WEST","17","100.0000","44201","Ozone","24940","Greenwood, SC","45","South Carolina","001","Abbeville","34.325318000879","-82.386376"
"01/06/2017","AQS","450010001","1","0.021","ppm","19","DUE WEST","17","100.0000","44201","Ozone","24940","Greenwood, SC","45","South Carolina","001","Abbeville","34.325318000879","-82.386376"
"01/07/2017","AQS","450010001","1","0.033","ppm","31","DUE WEST","17","100.0000","44201","Ozone","24940","Greenwood, SC","45","South Carolina","001","Abbeville","34.325318000879","-82.386376"
"01/08/2017","AQS","450010001","1","0.036","ppm","33","DUE WEST","17","100.0000","44201","Ozone","24940","Greenwood, SC","45","South Carolina","001","Abbeville","34.325318000879","-82.386376"
"01/09/2017","AQS","450010001","1","0.034","ppm","31","DUE WEST","17","100.0000","44201","Ozone","24940","Greenwood, SC","45","South Carolina","001","Abbeville","34.325318000879","-82.386376"
"02/01/2017","AQS","450030003","2","0.047","ppm","44","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/02/2017","AQS","450030003","2","0.045","ppm","42","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/03/2017","AQS","450030003","2","0.03","ppm","28","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/04/2017","AQS","450030003","2","0.042","ppm","39","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/05/2017","AQS","450030003","2","0.037","ppm","34","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/06/2017","AQS","450030003","2","0.04","ppm","37","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/07/2017","AQS","450030003","2","0.044","ppm","41","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/08/2017","AQS","450030003","2","0.028","ppm","26","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/09/2017","AQS","450030003","2","0.039","ppm","36","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/10/2017","AQS","450030003","2","0.041","ppm","38","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/11/2017","AQS","450030003","2","0.046","ppm","43","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/12/2017","AQS","450030003","2","0.028","ppm","26","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/13/2017","AQS","450030003","2","0.044","ppm","41","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/14/2017","AQS","450030003","2","0.052","ppm","48","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/15/2017","AQS","450030003","2","0.041","ppm","38","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/16/2017","AQS","450030003","2","0.043","ppm","40","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/17/2017","AQS","450030003","2","0.049","ppm","45","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/18/2017","AQS","450030003","2","0.034","ppm","31","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/19/2017","AQS","450030003","2","0.043","ppm","40","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/20/2017","AQS","450030003","2","0.049","ppm","45","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/21/2017","AQS","450030003","2","0.045","ppm","42","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/22/2017","AQS","450030003","2","0.04","ppm","37","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/23/2017","AQS","450030003","2","0.044","ppm","41","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/24/2017","AQS","450030003","2","0.041","ppm","38","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/25/2017","AQS","450030003","2","0.049","ppm","45","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/26/2017","AQS","450030003","2","0.046","ppm","43","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"02/28/2017","AQS","450030003","2","0.038","ppm","35","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/01/2017","AQS","450030003","2","0.03","ppm","28","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/02/2017","AQS","450030003","2","0.042","ppm","39","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/03/2017","AQS","450030003","2","0.048","ppm","44","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/04/2017","AQS","450030003","2","0.045","ppm","42","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/05/2017","AQS","450030003","2","0.052","ppm","48","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/06/2017","AQS","450030003","2","0.05","ppm","46","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/07/2017","AQS","450030003","2","0.044","ppm","41","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/08/2017","AQS","450030003","2","0.05","ppm","46","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/09/2017","AQS","450030003","2","0.055","ppm","51","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/10/2017","AQS","450030003","2","0.049","ppm","45","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/11/2017","AQS","450030003","2","0.048","ppm","44","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
"03/12/2017","AQS","450030003","2","0.035","ppm","32","JACKSON MIDDLE SCHOOL","17","100.0000","44201","Ozone","12260","Augusta-Richmond County, GA-SC","45","South Carolina","003","Aiken","33.3422260008668","-81.788731"
